"";"input_id";"dependence";"dependence_value";"question";"subframework";"property";"category";"pages";"minimal_detailed";"bestpractices";"notes";"keywords";"options";"input_type";"required"
"11";"G05";NA;NA;"Does the resource identify the developer/author of the resource?";"essential";"Authors";"Metadata & publication";"1. Content & Structure";"minimal";"Following the ""Author(s)"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, include information about who created the learning resource. This can include name, affiliation as well as ORCID.";"In addition to adding this information to the metadata, it should also be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"12";"G06";NA;NA;"Does the resource specify the primary language used?";"essential";"Language";"Metadata & publication";"1. Content & Structure";"minimal";"Following the ""Primary Language"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, specify the primary language of the resource.";"In addition to adding this information to the metadata, it should also be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"13";"G09";NA;NA;"Does the resource contain relevant keywords related to the content and structure?";"essential";"Keywords";"Metadata & publication";"1. Content & Structure";"minimal";"Following the ""Keyword(s)"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, include keywords to help organise resources in a system so that people can easily find what they need. They can be used to search for specific things, such as who created the resource, how long the learning activity takes, and what the topic is.";NA;NA;"Yes;No";"mc";FALSE
"14";"M03";"G09";"Yes";"Does the resource contain, as outlined in the <a href=""https://zenodo.org/records/15731870"" target=""_blank"">MVS profile</a>, relevant terms selected from Open Science taxonomies or controlled vocabularies in its keywords?";"mvs";"Keywords";"Metadata & publication";"1. Content & Structure";"minimal";"It is suggested to include keywords about the resource. It can include Open Science skills terms outlined in the MVS. The skill set concepts covered by the MVS and suggested to use in the learning resource are identified using the European Skills, Competences and Occupations taxonomy. Other terms can be selected from an Open Science- related taxonomy, ontology or controlled vocabulary (e.g.: <a href=""https://www.ebi.ac.uk/ols4/ontologies/t4fs?tab=individuals&viewMode=list"" target=""_blank"">t4FS</a>, <a href=""https://www.cscce.org/resources/glossary/"" target=""_blank"">CSCCE Glossary</a>, <a href=""https://forrt.org/glossary/"" target=""_blank"">FORRT Glossary</a>, <a href=""https://osf.io/t84kh/"" target=""_blank"">Open Science Dictionary</a>, <a href=""https://op.europa.eu/es/web/eu-vocabularies/euroscivoc"" target=""_blank"">EuroSciVoc</a>).";"It is suggested to include keywords about the resource. It can include Open Science skills terms outlined in the MVS. The skill set concepts covered by the MVS and suggested to use in the learning resource are identified using the European Skills, Competences and Occupations taxonomy. Other terms can be selected from an Open Science- related taxonomy, ontology or controlled vocabulary (e.g.: t4FS, CSCCE Glossary, FORRT Glossary, Open Science Dictionary, EuroSciVoc,)";NA;"Yes;No";"mc";FALSE
"15";"F02";NA;NA;"Is metadata available to describe the learning resource?";"fair";"Metadata";"Metadata & publication";"1. Content & Structure";"minimal";"The learning resource should be described using a <a href=""https://zenodo.org/records/6769695#.YrrP9-xBybQ"" target=""_blank"">suitable metadata schema</a> that is easily accessible to everyone. It is preferable that the metadata is available in both human and machine readable format.";NA;"Findable";"Yes;No";"mc";FALSE
"16";"F05";NA;NA;"Is the RDA minimal (or domain specific) metadata schema used for the learning resource description?";"fair";"Metadata";"Metadata & publication";"1. Content & Structure";"minimal";"Use a standardised metadata schema such as the <a href=""https://doi.org/10.15497/RDA00073"" target=""_blank"">RDA minimal metadata schema</a> or domain-specific schemas when describing the learning resource. Both learners and instructors should be able to access all fields defined with the metadata schema.";"When using the min RDA schema be careful as ALL fields are mandatory (chick <a href=""https://doi.org/10.15497/RDA00073"" target=""_blank"">here</a> for more information)";"Interoperable";"Yes;No";"mc";FALSE
"17";"M04";"F02";"Yes";"Does the resource have coherently structured content for all elements of the <a href=""https://zenodo.org/records/15731870"" target=""_blank"">MVS profile</a> in its metadata?";"mvs";"Metadata";"Metadata & publication";"1. Content & Structure";"minimal";"The learning resource has a coherent structure description of its MVS elements, based on a metadata schema (e.g. RDA minimal metadata for learning resources)";"The learning resource should have a coherent structure that describes its MVS elements, including the essential skills and competencies. The structure of the metadata should be based on a metadata schema (eg RDA minimal metadata for learning resources).";NA;"Yes;No";"mc";FALSE
"18";"F15";NA;NA;"Are controlled vocabularies (CVs) used for describing the resource characteristics aligned with the chosen metadata schema?";"fair";"Vocabularies";"Metadata & publication";"1. Content & Structure";"detailed";"Vocabularies are structured lists of words and phrases that help find content, by either looking through it or searching for it. When using a metadata schema, its definition provides information on which fields of the schema are defined using specific controlled vocabularies.";"Applies to all fields defined with CV in the schema (i.e. for RDA min schema, it is only the 'access cost' field)";"Interoperable";"Yes;No";"mc";FALSE
"19";"F16";NA;NA;"Is the resource searchable in at least one relevant catalogue?";"fair";"Catalogue";"Metadata & publication";"1. Content & Structure";"detailed";"If the learning resource is indexed  in a relevant training catalogue its Findability and Reusability are increased. This can be the catalogue of the learning platform where the resource is provided to the learners.";"Any user should be able to find the learning resource using keywords in a catalogue search bar";"Findable";"Yes;No";"mc";FALSE
"20";"F01";NA;NA;"Is the complete learning resource (incl. instructors’ info) deposited or indexed in at least one searchable repository?";"fair";"Repository";"Metadata & publication";"1. Content & Structure";"minimal";"There are multiple options for storing the learning resources, including general data repositories, open educational repositories, or domain-specific repositories. Depending on the learning resource type and use, the most suitable option should be chosen. Ensure that the repository will provide a PID for the resource and that you deposit all editable files related to the resource.";"Complete resource means that all elements distributed in different files related to the resources should be deposited (including editable versions of the files)";"Findable";"Yes;No";"mc";FALSE
